# size 1080
7 29 60
8 30 58
9 28 59
10 41 72
11 42 70
12 40 71
13 44 66
14 45 64
15 43 65
16 38 69
17 39 67
18 37 68
19 50 81
20 51 79
21 49 80
22 53 75
23 54 73
24 52 74
25 47 78
26 48 76
27 46 77
1 33 62
2 31 63
3 32 61
4 36 56
5 34 57
6 35 55
7 30 59
8 28 60
9 29 58
10 42 71
11 40 72
12 41 70
13 45 65
14 43 66
15 44 64
16 39 68
17 37 69
18 38 67
19 51 80
20 49 81
21 50 79
22 54 74
23 52 75
24 53 73
25 48 77
26 46 78
27 47 76
1 34 58
2 35 59
3 36 60
4 28 61
5 29 62
6 30 63
7 31 55
8 32 56
9 33 57
10 43 67
11 44 68
12 45 69
13 37 70
14 38 71
15 39 72
16 40 64
17 41 65
18 42 66
19 52 76
20 53 77
21 54 78
22 46 79
23 47 80
24 48 81
25 49 73
26 50 74
27 51 75
1 35 60
2 36 58
3 34 59
4 29 63
5 30 61
6 28 62
7 32 57
8 33 55
9 31 56
10 44 69
11 45 67
12 43 68
13 38 72
14 39 70
15 37 71
16 41 66
17 42 64
18 40 65
19 53 78
20 54 76
21 52 77
22 47 81
23 48 79
24 46 80
25 50 75
26 51 73
27 49 74
1 36 59
2 34 60
3 35 58
4 30 62
5 28 63
6 29 61
7 33 56
8 31 57
9 32 55
10 45 68
11 43 69
12 44 67
13 39 71
14 37 72
15 38 70
16 42 65
17 40 66
18 41 64
19 54 77
20 52 78
21 53 76
22 48 80
23 46 81
24 47 79
25 51 74
26 49 75
27 50 73
1 37 73
2 38 74
3 39 75
4 40 76
5 41 77
6 42 78
7 43 79
8 44 80
9 45 81
10 46 55
11 47 56
12 48 57
13 49 58
14 50 59
15 51 60
16 52 61
17 53 62
18 54 63
19 28 64
20 29 65
21 30 66
22 31 67
23 32 68
24 33 69
25 34 70
26 35 71
27 36 72
1 38 75
2 39 73
3 37 74
4 41 78
5 42 76
6 40 77
7 44 81
8 45 79
9 43 80
10 47 57
11 48 55
12 46 56
13 50 60
14 51 58
15 49 59
16 53 63
17 54 61
18 52 62
19 29 66
20 30 64
21 28 65
22 32 69
23 33 67
24 31 68
25 35 72
26 36 70
27 34 71
1 39 74
2 37 75
3 38 73
4 42 77
5 40 78
6 41 76
7 45 80
8 43 81
9 44 79
10 48 56
11 46 57
12 47 55
13 51 59
14 49 60
15 50 58
16 54 62
17 52 63
18 53 61
19 30 65
20 28 66
21 29 64
22 33 68
23 31 69
24 32 67
25 36 71
26 34 72
27 35 70
1 40 79
2 41 80
3 42 81
4 43 73
5 44 74
6 45 75
7 37 76
8 38 77
9 39 78
10 49 61
11 50 62
12 51 63
13 52 55
14 53 56
15 54 57
16 46 58
17 47 59
18 48 60
19 31 70
20 32 71
21 33 72
22 34 64
23 35 65
24 36 66
25 28 67
26 29 68
27 30 69
1 41 81
2 42 79
3 40 80
4 44 75
5 45 73
6 43 74
7 38 78
8 39 76
9 37 77
10 50 63
11 51 61
12 49 62
13 53 57
14 54 55
15 52 56
16 47 60
17 48 58
18 46 59
19 32 72
20 33 70
21 31 71
22 35 66
23 36 64
24 34 65
25 29 69
26 30 67
27 28 68
1 42 80
2 40 81
3 41 79
4 45 74
5 43 75
6 44 73
7 39 77
8 37 78
9 38 76
10 51 62
11 49 63
12 50 61
13 54 56
14 52 57
15 53 55
16 48 59
17 46 60
18 47 58
19 33 71
20 31 72
21 32 70
22 36 65
23 34 66
24 35 64
25 30 68
26 28 69
27 29 67
1 43 76
2 44 77
3 45 78
4 37 79
5 38 80
6 39 81
7 40 73
8 41 74
9 42 75
10 52 58
11 53 59
12 54 60
13 46 61
14 47 62
15 48 63
16 49 55
17 50 56
18 51 57
19 34 67
20 35 68
21 36 69
22 28 70
23 29 71
24 30 72
25 31 64
26 32 65
27 33 66
1 44 78
2 45 76
3 43 77
4 38 81
5 39 79
6 37 80
7 41 75
8 42 73
9 40 74
10 53 60
11 54 58
12 52 59
13 47 63
14 48 61
15 46 62
16 50 57
17 51 55
18 49 56
19 35 69
20 36 67
21 34 68
22 29 72
23 30 70
24 28 71
25 32 66
26 33 64
27 31 65
1 45 77
2 43 78
3 44 76
4 39 80
5 37 81
6 38 79
7 42 74
8 40 75
9 41 73
10 54 59
11 52 60
12 53 58
13 48 62
14 46 63
15 47 61
16 51 56
17 49 57
18 50 55
19 36 68
20 34 69
21 35 67
22 30 71
23 28 72
24 29 70
25 33 65
26 31 66
27 32 64
1 46 64
2 47 65
3 48 66
4 49 67
5 50 68
6 51 69
7 52 70
8 53 71
9 54 72
10 28 73
11 29 74
12 30 75
13 31 76
14 32 77
15 33 78
16 34 79
17 35 80
18 36 81
19 37 55
20 38 56
21 39 57
22 40 58
23 41 59
24 42 60
25 43 61
26 44 62
27 45 63
1 47 66
2 48 64
3 46 65
4 50 69
5 51 67
6 49 68
7 53 72
8 54 70
9 52 71
10 29 75
11 30 73
12 28 74
13 32 78
14 33 76
15 31 77
16 35 81
17 36 79
18 34 80
19 38 57
20 39 55
21 37 56
22 41 60
23 42 58
24 40 59
25 44 63
26 45 61
27 43 62
1 48 65
2 46 66
3 47 64
4 51 68
5 49 69
6 50 67
7 54 71
8 52 72
9 53 70
10 30 74
11 28 75
12 29 73
13 33 77
14 31 78
15 32 76
16 36 80
17 34 81
18 35 79
19 39 56
20 37 57
21 38 55
22 42 59
23 40 60
24 41 58
25 45 62
26 43 63
27 44 61
1 49 70
2 50 71
3 51 72
4 52 64
5 53 65
6 54 66
7 46 67
8 47 68
9 48 69
10 31 79
11 32 80
12 33 81
13 34 73
14 35 74
15 36 75
16 28 76
17 29 77
18 30 78
19 40 61
20 41 62
21 42 63
22 43 55
23 44 56
24 45 57
25 37 58
26 38 59
27 39 60
1 50 72
2 51 70
3 49 71
4 53 66
5 54 64
6 52 65
7 47 69
8 48 67
9 46 68
10 32 81
11 33 79
12 31 80
13 35 75
14 36 73
15 34 74
16 29 78
17 30 76
18 28 77
19 41 63
20 42 61
21 40 62
22 44 57
23 45 55
24 43 56
25 38 60
26 39 58
27 37 59
1 51 71
2 49 72
3 50 70
4 54 65
5 52 66
6 53 64
7 48 68
8 46 69
9 47 67
10 33 80
11 31 81
12 32 79
13 36 74
14 34 75
15 35 73
16 30 77
17 28 78
18 29 76
19 42 62
20 40 63
21 41 61
22 45 56
23 43 57
24 44 55
25 39 59
26 37 60
27 38 58
1 52 67
2 53 68
3 54 69
4 46 70
5 47 71
6 48 72
7 49 64
8 50 65
9 51 66
10 34 76
11 35 77
12 36 78
13 28 79
14 29 80
15 30 81
16 31 73
17 32 74
18 33 75
19 43 58
20 44 59
21 45 60
22 37 61
23 38 62
24 39 63
25 40 55
26 41 56
27 42 57
1 53 69
2 54 67
3 52 68
4 47 72
5 48 70
6 46 71
7 50 66
8 51 64
9 49 65
10 35 78
11 36 76
12 34 77
13 29 81
14 30 79
15 28 80
16 32 75
17 33 73
18 31 74
19 44 60
20 45 58
21 43 59
22 38 63
23 39 61
24 37 62
25 41 57
26 42 55
27 40 56
1 54 68
2 52 69
3 53 67
4 48 71
5 46 72
6 47 70
7 51 65
8 49 66
9 50 64
10 36 77
11 34 78
12 35 76
13 30 80
14 28 81
15 29 79
16 33 74
17 31 75
18 32 73
19 45 59
20 43 60
21 44 58
22 39 62
23 37 63
24 38 61
25 42 56
26 40 57
27 41 55
