# size 1170
1 2 3 4 5 6 7 8 9
19 22 25 28 31 34 64 67 70
20 23 26 29 32 35 65 68 71
21 24 27 30 33 36 66 69 72
1 4 7 38 41 44 75 78 81
2 5 8 39 42 45 73 76 79
3 6 9 37 40 43 74 77 80
10 13 16 47 50 53 57 60 63
11 14 17 48 51 54 55 58 61
12 15 18 46 49 52 56 59 62
19 22 25 29 32 35 66 69 72
20 23 26 30 33 36 64 67 70
21 24 27 28 31 34 65 68 71
1 4 7 39 42 45 74 77 80
2 5 8 37 40 43 75 78 81
3 6 9 38 41 44 73 76 79
10 13 16 48 51 54 56 59 62
11 14 17 46 49 52 57 60 63
12 15 18 47 50 53 55 58 61
19 22 25 30 33 36 65 68 71
20 23 26 28 31 34 66 69 72
21 24 27 29 32 35 64 67 70
1 4 7 46 49 52 64 67 70
2 5 8 47 50 53 65 68 71
3 6 9 48 51 54 66 69 72
10 13 16 28 31 34 73 76 79
11 14 17 29 32 35 74 77 80
12 15 18 30 33 36 75 78 81
19 22 25 37 40 43 55 58 61
20 23 26 38 41 44 56 59 62
21 24 27 39 42 45 57 60 63
1 4 7 47 50 53 66 69 72
2 5 8 48 51 54 64 67 70
3 6 9 46 49 52 65 68 71
10 13 16 29 32 35 75 78 81
11 14 17 30 33 36 73 76 79
12 15 18 28 31 34 74 77 80
19 22 25 38 41 44 57 60 63
20 23 26 39 42 45 55 58 61
21 24 27 37 40 43 56 59 62
1 4 7 48 51 54 65 68 71
2 5 8 46 49 52 66 69 72
3 6 9 47 50 53 64 67 70
10 13 16 30 33 36 74 77 80
11 14 17 28 31 34 75 78 81
12 15 18 29 32 35 73 76 79
19 22 25 39 42 45 56 59 62
20 23 26 37 40 43 57 60 63
21 24 27 38 41 44 55 58 61
1 5 9 10 14 18 19 23 27
2 6 7 11 15 16 20 24 25
3 4 8 12 13 17 21 22 26
28 32 36 37 41 45 46 50 54
29 33 34 38 42 43 47 51 52
30 31 35 39 40 44 48 49 53
55 59 63 64 68 72 73 77 81
56 60 61 65 69 70 74 78 79
57 58 62 66 67 71 75 76 80
1 5 9 11 15 16 21 22 26
2 6 7 12 13 17 19 23 27
